transaction_date,total_transaction_count,total_value_per_day,total_gas_per_day,avg_gas_price_per_day,total_gas_used_per_day,total_transaction_fee,total_priority_fee
2021-10-24,2018360,1592783995176867612865369,908844111249,79004013928.5706,622480418857,146636300825364836,20065409782099819
2021-10-25,2050539,1615486274287337705440651,958005525596,102533250450.85733,616142341900,193647282976427614,23281762941798097
2021-10-26,2062519,1835610474932620449086815,904177859044,128951463656.64764,600080200945,230366965913635984,27656495977780952
2021-10-27,2060563,3335906128966509157303811,975267901654,178160751135.16412,605746801439,298326107789877887,40586982448889702
2021-10-28,2068257,1735339180257968600481146,1015910648276,197601172116.34885,658587938796,340597764495829289,44142713866467181
2021-10-29,2097279,2714348945796223638033900,867589402046,183816494417.53265,549182123573,320974671682223833,38678940333829596
2021-10-30,2150079,2708450638885772021615853,917678258316,171433134973.11377,598553606015,302412449486229679,40899233680810432
2021-10-31,2080107,1802507121347683080922349,974994261744,157117310366.08844,658252600543,275057772481275233,34065581800080952
2021-11-01,2037109,1629800931726437289293969,960018445266,164268131473.4704,615851704424,288863964631906897,32042270628754679
2021-11-02,2062366,1760467460435453814495379,851047002813,183874955956.0235,530682409423,318897192379252102,39388573170014694
2021-11-03,2125378,1761535553849934930797071,831879997039,170368663906.63632,525687207739,303858226571173460,37154597454266659
2021-11-04,2093044,1437560942219562536132445,1359724978883,152352600248.58774,952651645424,265137573400816738,36214758411431951
2021-11-05,2028319,3135100560873889956790522,906370305236,140895802842.40149,605683947594,251037256742764397,33145412882439783
2021-11-06,2009001,1201538840528660561910134,951461728605,116977331945.64923,655396564219,208652845109163200,29370060691241897
